id,spa,mslg_real,mslg_pred,gloss_fol,raw_response
486,Tengo otro libro.,OTRO LIBRO YO TENER,YO TENER OTRO LIBRO,TENER OTRO LIBRO,YO TENER OTRO LIBRO
83,Santiago guarda en su bolsillo una moneda.,dm-SANTIAGO MONEDA GUARDAR-BOLSILLO,MONEDA TU BOLSILO GUARDAR,dm-SANTIAGO GUARDAR BOLSILLO MONEDA,MONEDA TU BOLSILO GUARDAR
352,Yo fui a levantar un acta a la delegación.,DELEGACIÓN YO YA IR ACTA LEVANTAR,DELEGACIÓN YO IR LEVANTAR ACTA,YO IR LEVANTAR ACTA DELEGACIÓN,DELEGACIÓN YO IR LEVANTAR ACTA
979,La sopa está caliente.,SOPA CALIENTE,SOPA CALIENTE,SOPA CALIENTE,SOPA CALIENTE
790,Debes seguir estudiando.,TÚ DEBER SEGUIR ESTUDIAR,TÚ DEBER CONTINUAR ESTUDIAR,DEBER SEGUIR ESTUDIAR,TÚ DEBER CONTINUAR ESTUDIAR
525,Tú eres muy afortunado en todo.,TODO AFORTUNADO,TÚ SUERTE MUCHO TODO,TÚ AFORTUNADO MUCHO TODO,TÚ SUERTE MUCHO TODO
464,La credencial del INE tiene mi huella.,CREDENCIAL VOTAR HABER MI HUELLA,INE CREDENCIAL MI HUELLA TENER,CREDENCIAL INE TENER MI HUELLA,INE CREDENCIAL MI HUELLA TENER
728,Debes mostrar tu INE para poder pasar.,TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR,TU INE MOSTRAR DEBER PUDER PASAR_PODSAR,DEBER MOSTRAR TU INE PODER PASAR,TU INE MOSTRAR DEBER PUDER PASAR_Podsar
799,En Villahermosa hace mucho calor.,VILLAHERMOSA MUCHO CALOR,VILLAHERMOSA CALOR MUCHO,VILLAHERMOSA MUCHO CALOR,VILLAHERMOSA CALOR MUCHO
419,Mañana habrá descuentos en bolsas de mano en Liverpool.,MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO,MAÑANA DESCUENTO BOLSA-MANO LIVERPOOL HABER,MAÑANA HABER DESCUENTO BOLSA MANO LIVERPOOL,MAÑANA DESCUENTO BOLSA-MANO LIVERPOOL HABER
854,Le regalé un cinturón a mi papá.,MI PAPÁ CINTURÓN YO REGALAR ÉL,MI PAPÁ YO CINTURÓN REGALAR,REGALÉ CINTURÓN MI PAPÁ,MI PAPÁ YO CINTURÓN REGALAR
619,Voy a estudiar hasta secundaria y después quiero trabajar.,YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR,ESTUDIAR HASTA SECUNDARIO+MUJER DESPUÉS YO QUERER TRABAJAR,DESPUÉS IR ESTUDIAR HASTA SECUNDARIO+MUJER Y QUERER TRABAJAR,ESTUDIAR HASTA SECUNDARIO+MUJER DESPUÉS YO QUERER TRABAJAR
909,Mi hermano no me dio pastel ayer.,AYER MI HERMANO PASTEL ÉL DAR MÍ,AYER MI HERMANO+MUJER NO YO PASTEL DAR,AYER MI HERMANO NO YO DAR PASTEL,AYER MI HERMANO+MUJER NO YO PASTEL DAR
270,"Tú tienes unos audífonos, ¿me los prestas?","AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO",TÚ TENER AUDÍFONO YO PRESTAR TE-PRESTAR-LOS-POR-FAVOR_QMARK_,TÚ TENER AUDÍFONO YO PRESTA,TÚ TENER AUDÍFONO YO PRESTAR TE-PRESTAR-LOS-POR-FAVOR_QMARK_
383,Mis amigos argentinos estudiaron antropología.,MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA,MI AMIGO ARGENTINO ESTUDIAR ANTROPOLOGÍA+MUJER,MI AMIGO ARGENTINO ESTUDIAR ANTROPOLOGÍO+MUJER,MI AMIGO ARGENTINO ESTUDIAR ANTROPOLOGÍA+MUJER
404,Tu sobrino está atrás de mi esposo.,TUYO SOBRINO ATRÁS MI ESPOSO,TU SOBRINO DETRÁS MI ESPOSO,TU SOBRINO ATRÁS MI ESPOSO,TU SOBRINO DETRÁS MI ESPOSO
863,Compraré la cena de Navidad en la Comercial Mexicana.,COMERCIAL MEXICANA YO COMPRAR CENA NAVIDAD,COMPRAR CENO+MUJER DM-NAVIDAD COMERCIAL MEXICANA IR,COMPRAR CENO+MUJER dm-NAVIDAD COMERCIAL MEXICANA,COMPRAR CENO+MUJER dm-NAVIDAD COMERCIAL MEXICANA IR
199,"Me pasé un semáforo, ahora tengo que pagar una multa.",SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR,AHORA YO PASAR SEMÁFORO TENER QUE PAGAR MULTA,AHORA YO PASAR SEMÁFORO TENER PAGAR MULTO+MUJER,AHORA YO PASAR SEMÁFORO TENER QUE PAGAR MULTA
628,Alicia viajó a Sudáfrica.,dm-ALICIA YA VIAJAR SUDÁFRICA,ALICIA IR SUDÁFRICA,ALICIA VIAJAR SUDÁFRICA,ALICIA IR SUDÁFRICA
878,En Cuba hace mucho calor,CUBA CALOR,CUBA MUY CALOR,CUBA MUCHO CALOR,CUBA MUY CALOR
298,El niño ve un mono en el zoológico.,ENTRAR ANIMAL NIÑO VER MONO,ZOOLOGICO NIÑO VER MONO,NIÑO VER MONO ZOOLÓGICO,ZOOLOGICO NIÑO VER MONO
208,No hay dulces en el frasco.,FRASCO DULCES NO-HAY,FRASCO NO-HAY-DULCE,NO HABER DULCE FRASCO,FRASCO NO-HAY-DULCE
470,Fui a comprar jabón a la tienda.,YO IR TIENDA COMPRAR JABÓN YA,JABÓN YO COMPRAR TIENDA IR,IR COMPRAR JABÓN TIENDA,JABÓN YO COMPRAR TIENDA IR
859,Yo compré una Coca Cola ayer.,AYER COCA-COLA YO COMPRAR,AYER YO COMPRAR DM-COCACOLA,AYER YO COMPRAR COCO+MUJER dm-COLA,AYER YO COMPRAR dm-COCACOLA
570,"Mi tío vive en la frontera, en Tijuana.",FRONTERA TIJUANA MÍ TÍO VIVIR,MI TÍO FRONTERA VIVIR TIJUANA,MI TÍO VIVIR FRONTERO+MUJER TIJUANA,MI TÍO FRONTERA VIVIR TIJUANA
800,"Eso es feo, parece vulgar.",ESO FEO PARECE VULGAR,ESE FEO PARECER VULGAR,ESE FEO VULGAR,ESE FEO PARECER VULGAR
783,La policia judicial nos protege.,POLICÍA AGENTE NOSOTROS PROTEGER MÍ,POLICIA-JUDICIAL NOS PROTEGER,POLICIO+MUJER JUDICIAL YO PROTEGER,POLICIA-JUDICIAL NOS PROTEGER
281,"Eso es muy bonito, sí me gusta.",ESO BONITO SÍ YO GUSTAR,ESE BONITO YO GUSTAR MUCHO,ESE BONITO SÍ YO MUCHO GUSTAR,ESE BONITO YO GUSTAR MUCHO
379,Algunas personas son analfabetas.,ALGUNAS PERSONAS ANALFABETO,ALGUNAS PERSONAS SER ANALFABETO+MUJER,ALGUNO PERSONA ANALFABETO+MUJER,ALGUNAS PERSONAS SER ANALFABETO+MUJER
703,Ghana está en África.,ÁFRICA ADENTRO GHANA,GHANA ÁFRICA ESTAR,GHANA ÁFRICA,GHANA ÁFRICA ESTAR
136,La tienda más cercana está a dos cuadras.,TIENDA CERCA DOS CUADRAS,TIENDA MÁS-CERCANO DOS CUADRA,TIENDA MÁS CERCANO DOS CUADRO+MUJER,TIENDA MÁS-CERCANO DOS CUADRA
358,Adán es el primer hombre creado por Dios en el mundo.,ADÁN PRIMER HOMBRE MUNDO DIOS HACER,DM-ADÁN HOMBRE PRIMERO CREAR DM-DIOS MUNDO,dm-ADÁN PRIMERO HOMBRE CREADO dm-DIOS MUNDO,DM-ADÁN HOMBRE PRIMERO CREAR DM-DIOS MUNDO
918,Mi viaje a Francia me emocionó.,YO VIAJE FRANCIA YO EMOCIONAR YA,MI VIAJE FRANCIA ME EMOCIONAR,MI VIAJE FRANCIA YO EMOCIONAR,MI VIAJE FRANCIA ME EMOCIONAR
138,La Biblioteca de México es muy grande.,MÉXICO BIBLIOTECA GRANDE,BIBLIOTECA MÉXICO GRANDE VERDAD,BIBLIOTECA MÉXICO MUCHO GRANDE,BIBLIOTECA MÉXICO GRANDE VERDAD
365,Le regalé un juguete a mi ahijado.,JUGUETE MI AHIJADO YO REGALAR ÉL YA,MI AHIJADO YO REGALAR JUGUETE,REGALAR JUGUETE MI AHIJADO,MI AHIJADO YO REGALAR JUGUETE
822,El calendario de la SEP termina en agosto.,SU #SEP CALENDARIO AGOSTO TERMINAR,SEP CALENDARIO AGOSTO TERMINAR,CALENDARIO SEP TERMINAR AGOSTO,SEP CALENDARIO AGOSTO TERMINAR
624,El senador explica por qué la gasolina está cara.,SENADOR GASOLINA AUMENTAR PORQUÉ ÉL EXPLICAR,SENADOR EXPLICAR POR-QUÉ GASOLINA CARA VERDAD,SENADOR EXPLICAR QUÉ GASOLINO+MUJER CARA,SENADOR EXPLICAR POR-QUÉ GASOLINA CARA VERDAD
326,Aimé saltó en paracaídas.,dm-AIMÉ SALTAR PARACAIDAS,AIMÉ SALTAR PARACAÍDAS,dm-AIMÉ SALTAR PARACAÍDAS,AIMÉ SALTAR PARACAÍDAS
472,Es fácil aprender las letras del abecedario.,FÁCIL APRENDER LETRA ABECEDARIO,FÁCIL APRENDER LETRO ABECEDARIO,FÁCIL APRENDER LETRO+MUJER ABECEDARIO,FÁCIL APRENDER LETRO ABECEDARIO
761,Nuestra cita es en Taxqueña.,NUESTRA CITA LUGAR TAXQUEÑA,NUESTRO CITA TAXQUEÑA,NUESTRO CITO+MUJER TAXQUEÑA,NUESTRO CITA TAXQUEÑA
567,"Con mucho polvo, yo estornudo mucho.",POLVO YO MUCHO ESTORNUDAR,MUCHO POLVO YO ESTORNUDO MUCHO,POLVO YO MUCHO ESTORNUDO,MUCHO POLVO YO ESTORNUDO MUCHO
213,El disfraz está hecho de papel,DISFRAZ HACER. PAPEL,DISFRAZ HECHO PAPEL,DISFRAZ HECHO PAPEL,DISFRAZ HECHO PAPEL
363,Mi hermano revisa su agenda diario.,DIARIO MI HERMANO AGENDA REVISAR,MI HERMANO REVISAR SU AGENDA+MUJER DIARIO,MI HERMANO REVISAR AGENDO+MUJER DIARIO,MI HERMANO REVISAR SU AGENDA+MUJER DIARIO
668,MI Mí familia y yo fuimos a Celaya.,CELAYA MI FAMILIA NOSOTROS-DE-DOS YA IR,MI DM-MÍ FAMILIO+MUJER Y YO CELAYA IR,MI dm-MÍ FAMILIO+MUJER Y YO IR CELAYA,MI dm-MÍ FAMILIO+MUJER Y YO CELAYA IR
652,A mí no me gustan las ametralladoras.,AMETRALLADORA DIFERENTE YO NO-GUSTAR,AMETRALLADORA YO NO-GUSTAR,YO NO YO GUSTAR AMETRALLADORO+MUJER,AMETRALLADORA YO NO-GUSTAR
479,Me mandas un mensaje de whatsapp en la noche.,NOCHE MENSAJEAR WHATSAPP TÚ MANDAR MÍ,YO RECIBIR MENSAGEM DM-WHATSAPP NOCHE,YO MANDAR MENSAJE dm-WHATSAPP NOCHE,YO RECIBIR MENSAGEM dm-WHATSAPP NOCHE
280,A mí sí me gusta jugar boliche.,SÍ YO GUSTAR JUGAR BOLICHE,YO SÍ YO GUSTAR JUGAR BOLICHE,YO SÍ YO GUSTAR JUGAR BOLICHE,YO SÍ YO GUSTAR JUGAR BOLICHE
857,Juan Gabriel nació en Ciudad Juárez.,dm-JUAN GABRIEL NACER CIUDAD JUÁREZ,CIUDAD-JUÁREZ DM-JUAN-GABRIEL NACER,dm-JUAN dm-GABRIEL NACER CIUDAD JUÁREZ,CIUDAD-JUÁREZ dm-JUAN-GABRIEL NACER
811,Yo limpié la azotea de la casa.,CASA AZOTEAarriba YO LIMPIAR YA,AZOTEY+MUJER CASA YO LIMPIAR,YO LIMPIAR AZOTEO+MUJER CASA,AZOTEY+MUJER CASA YO LIMPIAR
696,Ayer fui a la galería.,AYER YO YA IR GALERÍA,AYER YO IR GALERÍO+MUJER,AYER IR GALERÍO+MUJER,AYER YO IR GALERÍO+MUJER
916,Mi familia siempre dona a Teletón.,SIEMPRE MI FAMILIA TELETÓN DONAR DONAR,SIEMPRE MI FAMILIA DONAR TELETÓN,SIEMPRE MI FAMILIO+MUJER DONAR TELETÓN,SIEMPRE MI FAMILIA DONAR TELETÓN
239,Necesito papel para absorber el agua.,YO NECESITAR PAPEL PARA AGUA ABSORBER,PAPEL YO USAR PARA AGUA ABSORBER,NECESITAR PAPEL ABSORBER AGUA,PAPEL YO USAR PARA AGUA ABSORBER
369,Mi vecino va diario a Alcohólicos Anónimos.,DIARIO MI VECINO IR ALCOHÓLICOS-ANÓNIMOS,MI VECINO DIARIO ALCOHÓLICOS-ANÓNIMOS IR,MI VECINO IR DIARIO ALCOHÓLICOS ANÓNIMOS,MI VECINO DIARIO ALCOHÓLICOS-ANÓNIMOS IR
507,Mi hermano terminó con su novia.,MI HERMANO SUYA NOVIO+MUJER SEPARAR YA,MI HERMANO SU NOVIO+MUJER TERMINAR,MI HERMANO TERMINAR NOVIO+MUJER,MI HERMANO SU NOVIO+MUJER TERMINAR
312,Compré este celular ayer pero está muy corriente.,AYER ESTE CELULAR YO YA COMPRAR PERO CORRIENTE,AYER YO ESTE CELULAR COMPRAR PERO CORRIENTE VERDAD,AYER COMPRAR ESTE CELULAR PERO MUCHO CORRIENTE,AYER YO ESTE CELULAR COMPRAR PERO CORRIENTE VERDAD
133,Me gustan las fresas con crema.,FRESAS CON CREMA YO GUSTAR,FRESO+MUJER CON CREMA YO GUSTAR,YO GUSTAR FRESO+MUJER CREMA,FRESO+MUJER CON CREMA YO GUSTAR
719,El año pasado viajé a Guanajuato.,AÑO-PASADO YO VIAJAR GUANAJUATO,AÑO-PASADO YO VIAJAR GUANAJUATO,AÑO PASADO VIAJAR GUANAJUATO,AÑO-PASADO YO VIAJAR GUANAJUATO
924,Mi primo ingresó a la universidad.,MI PRIMO UNIVERSIDAD YA INGRESAR,MI PRIMO UNIVERSIDAD INGRESAR,MI PRIMO INGRESAR UNIVERSIDAD+MUJER,MI PRIMO UNIVERSIDAD INGRESAR
782,Hay muchos policías en la manifestación.,MUCHOS POLICÍA HABER MANIFESTACIÓN,POLICÍA MUCHO MANIFESTACIÓN,HABER POLICÍA MUCHO MANIFESTACIÓN+MUJER,POLICÍA MUCHO MANIFESTACIÓN
906,En el refrigerador hay comida caducada.,REFRIGERADOR HABER COMIDA CADUCADA,REFRIGERADOR HABER COMIDO CADUCADO,REFRIGERADOR HABER COMIDO+MUJER CADUCADO,REFRIGERADOR HABER COMIDO CADUCADO
3,¿Y eso?,¿Y-ESO?,ESE ¿QUÉ-PASO?,Y ESE,"MSLG: ""ESE ¿QUÉ-PASO?"""
466,La India es el séptimo país más grande del mundo.,INDIA SÉPTIMO PAÍS MÁS GRANDE MUNDO,INDIA SÉPTIMO PAÍS GRANDE MUNDO,INDIA SÉPTIMO PAÍS MÁS GRANDE MUNDO,INDIA SÉPTIMO PAÍS GRANDE MUNDO
597,El gobernador colocó mucha publicidad por las calles.,HOMBRE GOBERNADOR PUBLICIDAD COLOCAR COLOCAR CALLES,GOBERNADOR COLOCAR MUCHO PUBLICIDAD CALLE,GOBERNADOR COLOCAR MUCHO PUBLICIDAD+MUJER CALLE,GOBERNADOR COLOCAR MUCHO PUBLICIDAD CALLE
217,Pienso estudiar odontología.,ODONTOLOGÍA YO PENSAR ESTUDIAR,PENSAR YO ESTUDIAR ODONTOLOGÍA+MUJER,PENSAR ESTUDIAR ODONTOLOGÍO+MUJER,PENSAR YO ESTUDIAR ODONTOLOGÍA+MUJER
762,Ella tiene una lunar bonito.,ELLA TENER LUNAR BONITO,ELLA TENER LUNAR BONITO,ÉL TENER LUNAR BONITO,ELLA TENER LUNAR BONITO
666,Yo gané el campeonato.,YO YA GANAR CAMPEONATO,CAMPEONATO YO GANAR,YO GANAR CAMPEONATO,CAMPEONATO YO GANAR
392,Mi novio nació en Argentina.,MI NOVIO NACER LUGAR ARGENTINA,MI NOVIO ARGENTINA NACER,MI NOVIO NACER ARGENTINA,MI NOVIO ARGENTINA NACER
387,¿Cómo haces la seña de apóstoles?,¿CÓMO SEÑA dm-APÓSTOLES?,SEÑA APÓSTOL COMO HACER PREGUNTA,CÓMO HACER SEÑO+MUJER APÓSTOL,SEÑA APÓSTOL COMO HACER PREGUNTA
307,"Ya tengo trabajo, estoy contento.",YO TENER TRABAJO YA CONTENTO YO,YA TRABAJO TENER YO CONTENTO,YA TENER TRABAJO CONTENTO,YA TRABAJO TENER YO CONTENTO
502,Mi hijo reprobó el sexto de primaria.,SEXTO-Primaria MI HIJO YA REPROBAR,MI HIJO SEXTO PRIMARIO REPROBAR,MI HIJO REPROBAR SEXTO PRIMARIO+MUJER,MI HIJO SEXTO PRIMARIO REPROBAR
215,Al parecer va a llover en la tarde.,LLOVER TARDE PARECE,AL-PARECIDO LLUVIA TARDEROSA,PARECER IR LLOVER TARDE,AL-PARECIDO LLUVIA TARDEROSA
316,"Él fue arrestado, qué feo.",YA ÉL ARRESTADO ESO FEO VERDAD,ÉL ARRESTAR QUÉ FEO,ÉL ARRESTAR QUÉ FEO,ÉL ARRESTAR QUÉ FEO
372,Mi sobrino es muy alto.,MI SOBRINO ALTO,MI SOBRINO ALTO VERDAD,MI SOBRINO MUCHO ALTO,MI SOBRINO ALTO VERDAD
904,Las próximas vacaciones iré de viaje a Ciudad Obregón.,PRÓXIMO VACACIONES YO VIAJAR CIUDAD-OBREGÓN,PRÓXIMO VACACIÓN+MUJER YO IR CIUDAD OBREGÓN,PRÓXIMO VACACIÓN+MUJER IR VIAJE CIUDAD OBREGÓN,PRÓXIMO VACACIÓN+MUJER YO IR CIUDAD OBREGÓN
378,En la iglesia decimos amén.,IGLESIA NOSOTROS-DE-DOS DECIR AMÉN,IGLESIA YO DECIR AMÉN,IGLESIA DECIR AMÉN,IGLESIA YO DECIR AMÉN
292,Anoche el metro era un caos.,AYER NOCHE METRO CAOS,ANOCE METRO CAO,ANOCHE METRO CAO,ANOCE METRO CAO
605,En la fábrica de Sabritas buscan personal para trabajar.,LUGAR FABRICA SABRITAS HAY TRABAJO PARA PERSONAS,FÁBRICA SABRITAS PERSONAL BUSCAR TRABAJAR,FÁBRICO+MUJER SABRITAS BUSCAR PERSONAL TRABAJAR,FÁBRICA SABRITAS PERSONAL BUSCAR TRABAJAR
206,Yo nado en la alberca.,ALBERCA YO NADAR,YO NADO ALBERCO,YO NADO ALBERCO+MUJER,YO NADO ALBERCO
37,El maestro se reunió aparte con sus alumnos.,MAESTRO ALUMNOS REUNIÓN APARTE,SU ALUMNO MAESTRO REUNIR APARTE,MAESTRO REUNIR APARTE ALUMNO,SU ALUMNO MAESTRO REUNIR APARTE
125,Convencí a mi amigo de ir a la fiesta.,YO YA CONVENCER MI AMIGO IR FIESTA,MI AMIGO CONVENCER IR FIESTA,dm-CONVENCÍ MI AMIGO IR FIESTO+MUJER,MI AMIGO CONVENCER IR FIESTA
417,Pinté mi puerta de color azul.,MI PUERTA COLOR AZUL YO YA PINTAR,MI PUERTA PINTAR COLOR AZUL,PINTAR MI PUERTA COLOR AZUL,MI PUERTA PINTAR COLOR AZUL
406,Austria es un país hermoso.,AUSTRÍA SU PAÍS HERMOSO,AUSTRIA PAÍS HERMOSO,AUSTRIA PAÍS HERMOSO,AUSTRIA PAÍS HERMOSO
785,"Diario manejo mi auto, debo ponerle gasolina.",DIARIO YO MANEJAR CARRO YO DEBER PONER-GASOLINA,DM-DIARIO MI AUTO MANEJO DEBER YO GASOLINA PONERFUEGO,dm-DIARIO MANEJO MI AUTO DEBER PONER ÉL GASOLINO+MUJER,DM-DIARIO MI AUTO MANEJO DEBER YO GASOLINA PONERfuego
823,¡El café está muy caliente!,¡CAFÉ CALIENTE!,CAFÉ CALIENTE VERDAD,CAFÉ MUCHO CALIENTE,CAFÉ CALIENTE VERDAD
536,"En diciembre del año pasado, mi jefe viajó a Bogotá.",AÑO-PASADO DICIEMBRE BOGOTÁ MÍ JEFE VIAJAR,DICIEMBRE AÑO PASADO MI JEFE BOGOTÁ VIAJAR,DICIEMBRE AÑO PASADO MI JEFE VIAJAR BOGOTÁ,DICIEMBRE AÑO PASADO MI JEFE BOGOTÁ VIAJAR
346,Yo abandoné a mi hijo.,MI HIJO YO ABANDONAR,MI HIJO YO ABANDONAR,YO ABANDONAR MI HIJO,MI HIJO YO ABANDONAR
801,"Él desea conquistar a una mujer, pero tiene miedo de que lo abandonen.",ÉL DESEAR CONQUISTAR ELLA MUJER PERO MIEDO ELLA ABANDONAR,ÉL DESEAR CONQUISTAR HOMBRE+MUJER PERO TENER MIEDO ABANDONAR,ÉL DESEAR CONQUISTAR HOMBRE+MUJER PERO TENER MIEDO ABANDONAR,ÉL DESEAR CONQUISTAR HOMBRE+MUJER PERO TENER MIEDO ABANDONAR
638,Tepito es un lugar muy conocido.,TEPITO LUGAR FAMOSO,TEPITO LUGAR CONOCIDO VERDAD,TEPITO LUGAR MUCHO CONOCIDO,TEPITO LUGAR CONOCIDO VERDAD
844,Nos vemos en el metro chabacano a las 10 de la mañana,10 MAÑANA NOS-VEMOS METRO CHABACANO,DOS-DE-NOSOTROS VERNOS METRO CHABACANO 10 MAÑANA,YO VER METRO CHABACANO 10 MAÑANA,DOS-DE-NOSOTROS VERNOS METRO CHABACANO 10 MAÑANA
463,Hoy es mi cumpleaños.,HOY CUMPLEAÑOS MÍ,HOY MI CUMPLEAÑOS,HOY MI CUMPLEAÑOS,HOY MI CUMPLEAÑOS
